No,Type,Title,Date,Eligibility,Details,Website,Cost
35,"Biology Competitions","National Institutes of Health (NIH) High School Summer Internship Program","Summer program (8 weeks)","High school juniors and seniors","Research internship at NIH labs in various biomedical fields","https://www.training.nih.gov/programs/hssip","Stipend provided"
36,"Biology Competitions","BioBuilder Learning Lab","Year-round workshops and summer programs","High school students","Hands-on synthetic biology workshops and research opportunities","https://biobuilder.org/learninglab/","Fee varies"
37,"Biology Competitions","Cold Spring Harbor Laboratory (CSHL) Partners for the Future","Academic year program","Long Island high school seniors","Research internships in molecular biology and genetics","https://www.cshl.edu/education/partnersforthefuture/","Free"
38,"Biology Competitions","Hutton Junior Fisheries Biology Program","Summer program (8 weeks)","High school juniors and seniors","Paid internship program in fisheries biology","https://hutton.fisheries.org/","Stipend provided"
39,"Biology Competitions","Earthwatch Student Fellowships","Year-round (varies by project)","High school students","Field research opportunities in various environmental science projects, including biology","https://earthwatch.org/education/studentfellowships","Scholarships available"
40,"Biology Competitions","The Junior Academy of the New York Academy of Sciences","Year-round","Students aged 13-19","Online research and innovation challenges in various scientific fields, including biology","https://www.nyas.org/programs/globalstemalliance/thejunioracademy/","Free"
41,"Biology Competitions","Amgen Scholars Program","Summer program (8-10 weeks)","Undergraduate students","Research internships in biotechnology at various universities","https://amgenscholars.com","Stipend, housing, and travel expenses provided"
42,"Biology Competitions","Harvard Secondary School Program","Summer program (7 weeks)","High school students","College-level courses in various subjects, including biology","https://www.summer.harvard.edu/highschoolprograms/secondaryschoolprogram","Fee varies, financial aid available"
43,"Biology Competitions","Stanford Institutes of Medicine Summer Research Program (SIMR)","Summer program (8 weeks)","High school juniors and seniors","Biomedical research internships at Stanford University","https://simr.stanford.edu","Free (housing and meals provided)"
44,"Biology Competitions","Yale Young Global Scholars (YYGS)","Summer program (2 weeks)","High school students","Interdisciplinary program including biological sciences","https://globalscholars.yale.edu","Fee varies, financial aid available"
45,"Biology Competitions","MIT PRIMES (Program for Research in Mathematics, Engineering, and Science for High School Students)","Academic year program","High school students","Research opportunities in various scientific fields, including biology","https://math.mit.edu/research/highschool/primes/","Free"
46,"Biology Competitions","Duke University Talent Identification Program (TIP)","Summer and year-round programs","Gifted students in grades 4-12","Advanced courses in various subjects, including biology","https://tip.duke.edu","Fee varies, financial aid available"
47,"Biology Competitions","Research Experience for High School Students (REHS) at University of Iowa","Summer program (6 weeks)","High school juniors and seniors","Research internships in various scientific fields, including biology","https://medicine.uiowa.edu/research/educationtraining/undergraduate/highschoolresearchexperience","Free"
48,"Biology Competitions","Johns Hopkins Center for Talented Youth (CTY) Summer Programs","Summer program (3 weeks)","Students in grades 2-12","Advanced courses in various subjects, including biology","https://cty.jhu.edu/summer","Fee varies, financial aid available"
49,"Biology Competitions","Carnegie Mellon Summer Academy for Math and Science (SAMS)","Summer program (6 weeks)","High school juniors and seniors","Research and academic program in STEM fields, including biology","https://www.cmu.edu/precollege/academicprograms/sams.html","Free, travel and meals provided"
50,"Biology Competitions","Rosetta Institute of Biomedical Research Summer Camps","Summer program (varies by course)","High school students","Biomedical research camps focusing on molecular medicine, including oncology and neuroscience","https://www.rosettainstitute.org","Fee varies"
51,"Biology Competitions","International Genetically Engineered Machine (iGEM) Competition","Annually (competition in October)","High school and university students worldwide","Synthetic biology competition where teams design and build biological systems","https://igem.org","Registration fee varies"
52,"Biology Competitions","Global Health Corps Fellowship","Year-long program starting in July","Recent graduates and professionals from any country","Fellowship in global health fields including biomedical sciences","https://ghcorps.org","Stipend provided"
53,"Biology Competitions","CERN Summer Student Program","Summer program (8-13 weeks)","Undergraduate and master’s students from any country","Research internships in various scientific fields, including life sciences","https://home.cern/summerstudentprogramme","Stipend, travel, and accommodation provided"
54,"Biology Competitions","Wellcome Sanger Institute Summer Placement","Summer program (8-12 weeks)","Undergraduate students from any country","Research internships in genomics and computational biology","https://www.sanger.ac.uk/about/careers/summerplacement","Stipend provided"
55,"Biology Competitions","Max Planck Institute for Biology of Ageing Internship Program","Year-round (duration varies)","Undergraduate and master’s students from any country","Research internships in ageing and related fields","https://www.age.mpg.de/career/internships/","Stipend provided"
56,"Biology Competitions","Pasteur Institute Internship Program","Year-round (duration varies)","Undergraduate, master’s, and PhD students from any country","Research internships in various fields of biology","https://www.pasteur.fr/en/education/internships","Varies, some positions may be paid"
57,"Biology Competitions","RISE Germany (Research Internships in Science and Engineering)","Summer program (10-12 weeks)","Undergraduate students from North America, UK, and Ireland","Research internships in various fields, including biology, at German universities","https://www.daad.de/rise/en/risegermany/","Stipend and travel allowance provided"
58,"Biology Competitions","Weizmann Institute of Science International Summer Science Institute (ISSI)","Summer program (4 weeks)","High school graduates worldwide","Research internships in various scientific fields, including biology, in Israel","https://www.weizmann.ac.il/YouthSci/issi","Free (travel, accommodation, and meals provided)"
59,"Biology Competitions","EMBL International PhD Programme","Year-round (duration varies)","Master’s students from any country","PhD research in various fields of molecular biology","https://www.embl.org/training/eipp/","Stipend provided"
60,"Biology Competitions","United Nations University (UNU) Internship Programme","Year-round (duration varies)","Undergraduate and graduate students from any country","Internships in various fields, including environmental and life sciences","https://unu.edu/about/internships","Unpaid, but travel and accommodation assistance may be available"
61,"Biology Competitions","L'Oréal-UNESCO For Women in Science International Awards","Annual awards","Women researchers worldwide","Awards and fellowships for women in life sciences","https://www.forwomeninscience.com/en/awards","Fellowship amounts vary"
62,"Biology Competitions","International Institute for Applied Systems Analysis (IIASA) Young Scientists Summer Program (YSSP)","Summer program (3 months)","PhD students from any country","Research in systems analysis, including life sciences","https://iiasa.ac.at/web/home/education/yssp/Young_Scientists_Summer_Program.html","Stipend provided"
63,"Biology Competitions","European Molecular Biology Laboratory (EMBL) Summer School","Summer program (2-3 months)","Undergraduate and master’s students from any country","Research internships in molecular biology and related fields","https://www.embl.org/training/undergraduates/summerschool/","Stipend provided"
64,"Biology Competitions","Oxford Summer School in Experimental Psychology","Summer program (2 weeks)","Undergraduate and graduate students from any country","Courses and research in experimental psychology and neuroscience","https://www.psych.ox.ac.uk/study/summerschools/experimentalpsychologysummerschool","Fee varies, scholarships available"
65,"Biology Competitions","Global Research & Internship Program (GRIP) by University of Pennsylvania","Summer program (8-10 weeks)","Undergraduate students from any country","Research internships in various scientific fields, including biology","https://global.upenn.edu/pennabroad/grip","Stipend provided"
66,"Biology Competitions","Zuckerman Institute Postdoctoral Scholars Program","Year-round","PhD graduates from any country","Postdoctoral research in neuroscience and related fields","https://zuckermaninstitute.columbia.edu/postdoctoralresearch","Stipend provided"
67,"Biology Competitions","International Max Planck Research School (IMPRS) for Brain and Behavior","Year-round","PhD candidates from any country","PhD research in neuroscience","https://imprsbrainbehavior.mpg.de","Stipend provided"
68,"Biology Competitions","UNESCO-Merck Africa Research Summit (MARS)","Annual conference","Researchers from Africa","Research summit on health and life sciences","https://www.marsafrica.org","Travel and accommodation covered for selected participants"
69,"Biology Competitions","International Young Researchers' Conference on Global Health","Annual conference","Graduate students and early-career researchers from any country","Conference focusing on global health issues, including biological research","https://www.ihrc.org","Varies, scholarships available"
