No.,Title,Eligibility,Cost,Acceptance Rate,Program Dates,Registration Deadlines,Highlights
75,"Rochester Scholars University of Rochester","High school students in grades 9-12","$1,495 to $2,995 (varies by course, financial aid available)","Competitive","Various sessions in July and August","May 1, 2024","College-level courses, academic enrichment, exposure to university life."
76,"Oxford Summer Courses","High school students globally","£3,895 to £6,995 (varies by course and duration)","Competitive","Various sessions in June, July, and August","Rolling admissions","Academic enrichment, cultural immersion, interaction with students from around the world."
77,"Royal Veterinary College Summer School UK","High school students interested in veterinary science","£500 (financial aid available)","Competitive","July 22 to July 26, 2024","March 15, 2024","Veterinary science training, hands-on experience, interaction with veterinary professionals."
78,"Johns Hopkins Center for Talented Youth (CTY)","Gifted and talented students in grades 2-12","$4,000 to $6,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Advanced academic courses, enrichment activities, residential experience on a college campus."
79,"Syracuse University Summer College for High School Students","High school students globally","$3,850 to $8,850 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","College-level courses, academic enrichment, residential experience on a college campus."
80,"University of Chicago Research in the Biological Sciences (RIBS)","High school juniors and seniors","$10,500 (financial aid available)","Highly competitive","June 22 to July 20, 2024","Hands-on research experience, mentorship by university faculty, exposure to university-level biological research."
81,"Phillips Academy Andover Summer Session","Rising 8th graders to 12th graders","$6,500 to $12,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Academic enrichment, residential experience on a boarding school campus, interaction with faculty and peers."
82,"Emory University Pre-College Program","High school sophomores, juniors, and seniors","$3,800 to $8,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","College-level courses, academic enrichment, residential experience on a college campus."
83,"Boston University Summer Challenge","High school students in grades 10-12","$4,200 (financial aid available)","Competitive","Various sessions in June, July, and August","Academic enrichment, exploration of academic interests, residential experience on a college campus."
84,"Boston University Research Internship in Science & Engineering (RISE)","High school juniors","Free (students receive a stipend)","Highly competitive","June 30 to August 9, 2024","Hands-on research experience, mentorship by university faculty, exposure to university-level research."
85,"USC Summer Programs","High school students globally","$6,070 to $10,070 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","College-level courses, academic enrichment, residential experience on a college campus."
86,"Northfield Mount Hermon Summer Session","Rising 7th graders to 12th graders","$5,750 to $12,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Academic enrichment, residential experience on a boarding school campus, interaction with faculty and peers."
87,"Carleton Liberal Arts Experience (CLAE)","High school sophomores from underrepresented backgrounds","Free (includes room, board, and travel)","Highly competitive","July 7 to July 13, 2024","Liberal arts education, college preparation, residential experience on a college campus."
88,"Davidson College July Experience","Rising juniors and seniors","$3,900 (financial aid available)","Competitive","July 7 to July 27, 2024","College-level courses, academic enrichment, residential experience on a college campus."
89,"University of Texas at Austin Pre-College Programs","High school students globally","$1,500 to $3,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","College-level courses, academic enrichment, residential experience on a college campus."
90,"Clemson University Summer Scholars","High school students in grades 7-12","$1,250 to $2,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Academic enrichment, exploration of academic interests, residential experience on a college campus."
91,"Sarah Lawrence College Summer Writers Workshop for High School Students","High school students in grades 9-12","$3,000 (financial aid available)","Competitive","July 7 to July 27, 2024","April 1, 2024","Creative writing workshops, mentorship by published authors, residential experience"
92,"Brown University PreCollege Programs","High school students globally","$2,600 to $8,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
93,"UC Berkeley Academic Talent Development Program (ATDP)","Students in grades K-12","$500 to $3,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","March 15, 2024","Advanced academic courses, enrichment activities, exposure to university life"
94,"University of Notre Dame PreCollege Programs","High school sophomores and juniors","$3,750 to $5,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","February 15, 2024","College-level courses, academic enrichment, residential experience on a college campus"
95,"Duke University Talent Identification Program (TIP)","Gifted and talented students in grades 4-12","$3,500 to $6,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","Advanced academic courses, enrichment activities, residential experience on a college campus"
96,"Georgetown University Summer High School Programs","High school students globally","$2,800 to $7,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
97,"University of Southern California (USC) Summer Programs","High school students globally","$5,970 to $10,970 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
98,"University of California, Los Angeles (UCLA) Summer Sessions","High school students globally","$3,200 to $8,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
99,"Barnard College Summer in the City","High school students in grades 10-12","$5,700 (financial aid available)","Competitive","July 1 to July 27, 2024","April 1, 2024","College-level courses, academic enrichment, residential experience in New York City"
100,"University of Michigan Math and Science Scholars (MMSS)","High school students in grades 9-12","$3,600 (financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","STEM courses, hands-on research experience, mentorship by university faculty"
101,"Northwestern University College Prep Program","High school sophomores, juniors, and seniors","$4,000 to $10,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
102,"University of Pennsylvania PreCollege Programs","High school sophomores, juniors, and seniors","$7,800 (financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
103,"Carnegie Mellon University Summer PreCollege Programs","High school sophomores, juniors, and seniors","$5,900 to $9,300 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
104,"Summer at Stanford (formerly EPGY)","High school students globally","$6,200 (financial aid available)","Competitive","Various sessions in June, July, and August","March 15, 2024","College-level courses, academic enrichment, residential experience on a college campus"
105,"Summer Academy for Mathematics and Science (SAMS) Carnegie Mellon","High school juniors and seniors from underrepresented backgrounds","Free (includes room, board, and travel)","Highly competitive","June 29 to August 10, 2024","March 1, 2024","Intensive STEM curriculum, hands-on research experience, mentorship by university faculty"
106,"Pioneer Academics","High school students globally","$6,450 (financial aid available)","Competitive","Various sessions throughout the year","Rolling admissions","College-level courses, academic enrichment, mentorship by university faculty"
107,"Phillips Exeter Academy Summer School","Students in grades 9-12","$7,800 (financial aid available)","Competitive","July 1 to August 3, 2024","April 1, 2024","Academic enrichment, residential experience on a boarding school campus, interaction with faculty and peers"
108,"University of Chicago Summer Session","High school students globally","$4,250 to $8,500 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
109,"University of Texas Honors Summer Academy","High school juniors and seniors","$1,500 (financial aid available)","Competitive","June 8 to July 3, 2024","March 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
110,"Bucknell Academy Summer Experience (BASE)","High school sophomores and juniors","$2,500 (financial aid available)","Competitive","July 7 to July 12, 2024","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
111,"Rutgers Summer Scholars Program","High school students aged 16 or older","$3,000 to $4,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
112,"Emory PreCollege Program","High school sophomores, juniors, and seniors","$2,500 to $7,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
113,"Boston University Summer Term High School Programs","High school students globally","$4,200 to $7,200 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
114,"Washington University in St. Louis PreCollege Programs","High school sophomores, juniors, and seniors","$4,000 to $8,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
115,"The School of the New York Times Summer Academy","High school students in grades 10-12","$5,500 to $7,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","Journalism and media courses, interaction with professional journalists, residential experience in New York City"
116,"Columbia University High School Summer Program","High school students globally","$4,000 to $10,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
117,"Tufts University PreCollege Programs","High school students globally","$3,200 to $6,400 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
118,"University of Miami Summer Scholars Program","High school sophomores and juniors","$5,000 to $6,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","April 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
119,"St. John's College Summer Academy","High school students aged 15-18","$1,200 per week (financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","Liberal arts curriculum, discussion-based learning, residential experience on a college campus"
120,"Brandeis University Precollege Programs","High school students globally","$2,000 to $6,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","Collegelevel courses, academic enrichment, residential experience on a college campus."
121,"Smith College Precollege Programs for High School Girls","High school girls in grades 9-12","$2,800 to $6,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","March 1, 2024","College-level courses, academic enrichment, residential experience on a college campus"
122,"Drexel University Summer Institutes","High school students globally","$2,500 to $5,500 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
123,"Syracuse University Summer College for High School Students","High school students globally","$3,500 to $7,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
124,"Oberlin College Summer Programs","High school students globally","$2,500 to $6,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
125,"Vanderbilt University PreCollege PAVE Program","High school juniors and seniors","$4,000 (financial aid available)","Competitive","June 1 to July 15, 2024","March 1, 2024","Engineering and technology-focused curriculum, hands-on projects, residential experience on a college campus"
126,"University of Wisconsin-Madison Summer Music Clinic","High school students in grades 9-12","$1,100 to $2,200 (varies by course and duration, financial aid available)","Competitive","June 16 to June 30, 2024","April 1, 2024","Music performance and theory courses, ensemble experience, residential experience on a college campus"
127,"University of North Carolina at Chapel Hill Project Uplift","Rising high school seniors from underrepresented backgrounds","Free (includes room, board, and travel)","Highly competitive","Various sessions in June, July, and August","February 1, 2024","College preparation, academic enrichment, mentorship by university faculty"
128,"Cornell University Summer College","High school sophomores, juniors, and seniors","$4,500 to $12,000 (varies by course and duration, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
129,"Lehigh University Summer Academy","High school students globally","$3,500 to $7,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
130,"University of Colorado Boulder PreCollege Program","High school students globally","$3,000 to $6,000 (varies by course, financial aid available)","Competitive","Various sessions in June, July, and August","Rolling admissions","College-level courses, academic enrichment, residential experience on a college campus"
