No.,Type,Title,Date,Eligibility,Details,Website,Cost
16,"Computer Science extracurricular and competitions","NASA Space Apps Challenge","October 2023","Open to all ages","Global competition in which participants collaborate to develop solutions to real-world challenges related to space exploration.", https://www.spaceappschallenge.org, null
17,"Computer Science extracurricular and competitions","Raspberry Pi Foundation Code Club","Year-round","Open to students in grades 9-12","Raspberry Pi Foundation Code Club is a program that helps students learn to code in a fun and engaging environment. Students can participate in a variety of activities, including challenges, competitions, and workshops.", https://www.raspberrypi.org/codeclub, null
18,"Computer Science extracurricular and competitions","NeurIPS Competition","Year-round","Open to all ages","Competition in which participants develop and submit machine learning models to solve real-world problems.", https://neurips.cc/Conferences/2023/CompetitionTrack, null
19,"Computer Science extracurricular and competitions","Facebook AI Hackathon","Twice a year","Open to all ages","Hackathon in which participants develop and submit innovative artificial intelligence projects.", https://fbai2.devpost.com, null
20,"Computer Science extracurricular and competitions","Google AI Challenge","Year-round","Open to all ages","Competition in which participants develop and submit innovative machine learning models to solve real-world problems.", https://impactchallenge.withgoogle.com/ai2018, null
21,"Computer Science extracurricular and competitions","Kaggle Machine Learning Competitions","Year-round","Open to all ages","Competition platform in which participants compete to solve real-world machine learning problems.", https://www.kaggle.com/competitions, null
22,"Computer Science extracurricular and competitions","Amazon Machine Learning Hackathon","Twice a year","Open to all ages","Hackathon in which participants develop and submit innovative machine learning projects.", https://aws.amazon.com/machinelearning, null
23,"Computer Science extracurricular and competitions","Microsoft Machine Learning Challenge","Twice a year","Open to all ages","Competition in which participants develop and submit innovative machine learning models to solve real-world problems.", https://trainingsupport.microsoft.com/enus/mcp/forum/all/machine-learning-challenge, null
24,"Computer Science extracurricular and competitions","DEF CON CTF","Once a year","Open to all ages","Capture the flag competition in which participants compete to hack into and defend computer systems.", https://ctftime.org, null
25,"Computer Science extracurricular and competitions","PicoCTF","Once a year","Open to all ages","Capture the flag competition in which participants compete to solve cybersecurity challenges.", https://picoctf.org, null
26,"Computer Science extracurricular and competitions","National Cyber League","Year-round","Open to all ages","Competition platform in which participants compete to solve real-world cybersecurity challenges.", https://nationalcyberleague.org, null
27,"Computer Science extracurricular and competitions","Devpost Hackathons","Year-round","Open to all ages","Devpost is a platform that hosts hackathons all over the world, with a focus on a variety of different technologies, including web development, mobile development, and artificial intelligence.", https://devpost.com, null
28,"Computer Science extracurricular and competitions","Google Mobile Challenge","Year-round","Open to all ages","Competition in which participants develop and submit innovative mobile applications.", https://developers.google.com/community/gdsc-solution-challenge, null
29,"Computer Science extracurricular and competitions","OkCodechef contests","Every Month", null, null, https://www.codechef.com, null
30,"Computer Science extracurricular and competitions","Codingame", null, null, null, https://www.codingame.com, null
31,"Computer Science extracurricular and competitions","QpiAI Summer program", null, null,"Course that benefits you with certificate and knowledge held by IISc", https://qpiai.tech, null
32,"Computer Science extracurricular and competitions","Technophilia summer program", null, null,"Held by IIT Bombay, can be purchased any time", https://technophilia.in, null
33,"Computer Science extracurricular and competitions","Google Science fair","Deadline December", null, null, https://www.competitionsciences.org/competitions/google-science-fair, null
34,"Computer Science extracurricular and competitions","First Robotic Competition","Deadline 8 February", null, null, https://www.firstinspires.org/robotics/frc, null
35,"Computer Science extracurricular and competitions","Regeneron Science Talent Search","10 November", null, null, https://www.societyforscience.org/regeneron-sts, null
36,"Computer Science extracurricular and competitions","Stockholm Junior Water","15 April", null, null, https://technophilia.in, null
37,"Computer Science extracurricular and competitions","Biogenius","25 March", null, null, https://www.biogenius.de, null
38,"Computer Science extracurricular and competitions","Vex Robotics","1 February", null, null, https://www.vexrobotics.com/v5/competition/vrccurrentgame, null
39,"Computer Science extracurricular and competitions","Breakthrough Junior Challenge","June", null, null, https://breakthroughjuniorchallenge.org, null
40,"Computer Science extracurricular and competitions","HP Codewars","26 February", null, null, https://hpcodewarsbcn.com, null
41,"Computer Science extracurricular and competitions","Regeneron Science Talent Search", null, null, null, https://www.societyforscience.org/regeneron-sts, null
42,"Computer Science extracurricular and competitions","Dare2Compete", null, null,"For updates on hackathons and other competitions", https://dare2compete.com/competitions/, null
43,"Computer Science extracurricular and competitions","MIT THINK scholarship program", null, null, null, https://think.mit.edu, null
44,"Computer Science extracurricular and competitions","Technology student association competitions", null, null, null, https://tsaweb.org/competitions-programs/tsa/high-school-competitions, null
45,"Computer Science extracurricular and competitions","Regeneron international sciences and engineering fair(ISEF)", null, null, null, https://www.societyforscience.org/isef, null
